Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,1061
design__instance__area,7907.58
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001636490342207253
power__switching__total,0.0007822386687621474
power__leakage__total,9.543084544816338E-9
power__total,0.00241873855702579
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.006138589810217361
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.006138589810217361
timing__hold__ws__corner:nom_tt_025C_1v80,0.15644375127051152
timing__setup__ws__corner:nom_tt_025C_1v80,0.27321790048160366
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.010727641301141453
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.010727641301141453
timing__hold__ws__corner:nom_ss_100C_1v60,0.3526523062274965
timing__setup__ws__corner:nom_ss_100C_1v60,-3.8037938320225857
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-127.16285273590603
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.8037938320225857
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,60
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.803794
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,39
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.004805683764730856
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.004805683764730856
timing__hold__ws__corner:nom_ff_n40C_1v95,0.004682698805699752
timing__setup__ws__corner:nom_ff_n40C_1v95,1.266838669823993
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,0.006103617783952592
clock__skew__worst_setup,-0.012109313894363831
timing__hold__ws,0.003295641630655657
timing__setup__ws,-3.8804280886877263
timing__hold__tns,0.0
timing__setup__tns,-130.9813663492946
timing__hold__wns,0
timing__setup__wns,-3.8804280886877263
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,181
timing__setup_r2r__ws,-3.880428
timing__setup_r2r_vio__count,118
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1061
design__instance__area__stdcell,7907.58
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.479442
design__instance__utilization__stdcell,0.479442
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16250.3
design__violations,0
design__instance__count__setup_buffer,18
design__instance__count__hold_buffer,28
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,848
route__net__special,2
route__drc_errors__iter:1,624
route__wirelength__iter:1,18556
route__drc_errors__iter:2,274
route__wirelength__iter:2,18204
route__drc_errors__iter:3,227
route__wirelength__iter:3,18090
route__drc_errors__iter:4,8
route__wirelength__iter:4,18076
route__drc_errors__iter:5,2
route__wirelength__iter:5,18066
route__drc_errors__iter:6,0
route__wirelength__iter:6,18075
route__drc_errors,0
route__wirelength,18075
route__vias,6164
route__vias__singlecut,6164
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,185.77
timing__unannotated_net__count__corner:nom_tt_025C_1v80,16
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,16
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,16
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.005459161055506823
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.005459161055506823
timing__hold__ws__corner:min_tt_025C_1v80,0.15504464817530955
timing__setup__ws__corner:min_tt_025C_1v80,0.324130509384771
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
