Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2976
design__instance__area,21082.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0013640109682455659
power__switching__total,0.0017085381550714374
power__leakage__total,2.285310785055117E-8
power__total,0.0030725719407200813
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.06137240889204291
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.06137240889204291
timing__hold__ws__corner:nom_tt_025C_1v80,0.3460535844717098
timing__setup__ws__corner:nom_tt_025C_1v80,5.033560377649033
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,78
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.07325407154876894
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.07325407154876894
timing__hold__ws__corner:nom_ss_100C_1v60,0.8960342721416502
timing__setup__ws__corner:nom_ss_100C_1v60,0.8673382257902817
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.044604848854788264
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.044604848854788264
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12482437659032514
timing__setup__ws__corner:nom_ff_n40C_1v95,5.252291195076294
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,141
design__max_fanout_violation__count,10
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.040790372234476
clock__skew__worst_setup,-0.08349676741903893
timing__hold__ws,0.12093731913772528
timing__setup__ws,0.5029203862377194
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2976
design__instance__area__stdcell,21082.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.615458
design__instance__utilization__stdcell,0.615458
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,76283.1
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,48
antenna__violating__nets,7
antenna__violating__pins,7
route__antenna_violation__count,7
route__net,2524
route__net__special,2
route__drc_errors__iter:1,3212
route__wirelength__iter:1,95408
route__drc_errors__iter:2,1656
route__wirelength__iter:2,94245
route__drc_errors__iter:3,1571
route__wirelength__iter:3,93725
route__drc_errors__iter:4,393
route__wirelength__iter:4,93549
route__drc_errors__iter:5,113
route__wirelength__iter:5,93461
route__drc_errors__iter:6,7
route__wirelength__iter:6,93497
route__drc_errors__iter:7,0
route__wirelength__iter:7,93494
route__drc_errors,0
route__wirelength,93494
route__vias,22381
route__vias__singlecut,22381
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,461
timing__unannotated_net__count__corner:nom_tt_025C_1v80,29
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,29
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,29
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3
design__max_fanout_violation__count__corner:min_tt_025C_1v80,10
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.05377376474084785
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.05377376474084785
timing__hold__ws__corner:min_tt_025C_1v80,0.34059767081864184
timing__setup__ws__corner:min_tt_025C_1v80,5.0532788273024725
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
