Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,1123
design__instance__area,10392.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,10
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00025816683773882687
power__switching__total,0.00008247514779213816
power__leakage__total,1.1643505715142055E-8
power__total,0.00034065364161506295
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.012107815093238198
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.012107815093238198
timing__hold__ws__corner:nom_tt_025C_1v80,0.35861892248633565
timing__setup__ws__corner:nom_tt_025C_1v80,27.62837148374317
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,38
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.017841340021465053
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.017841340021465053
timing__hold__ws__corner:nom_ss_100C_1v60,0.9443875948560702
timing__setup__ws__corner:nom_ss_100C_1v60,23.093417609625366
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.009892281718212288
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.009892281718212288
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1411376055974782
timing__setup__ws__corner:nom_ff_n40C_1v95,29.187700194033685
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,47
design__max_fanout_violation__count,6
design__max_cap_violation__count,1
clock__skew__worst_hold,0.017841340021465053
clock__skew__worst_setup,-0.022077063024809378
timing__hold__ws,0.13448431637848793
timing__setup__ws,22.88355170125585
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1123
design__instance__area__stdcell,10392.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.630102
design__instance__utilization__stdcell,0.630102
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,29574
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,98
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
route__net,902
route__net__special,2
route__drc_errors__iter:1,1523
route__wirelength__iter:1,35248
route__drc_errors__iter:2,543
route__wirelength__iter:2,34694
route__drc_errors__iter:3,622
route__wirelength__iter:3,34594
route__drc_errors__iter:4,166
route__wirelength__iter:4,34574
route__drc_errors__iter:5,58
route__wirelength__iter:5,34606
route__drc_errors__iter:6,27
route__wirelength__iter:6,34550
route__drc_errors__iter:7,0
route__wirelength__iter:7,34555
route__drc_errors,0
route__wirelength,34555
route__vias,7964
route__vias__singlecut,7964
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,279.18
timing__unannotated_net__count__corner:nom_tt_025C_1v80,41
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,41
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,41
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,4
design__max_fanout_violation__count__corner:min_tt_025C_1v80,6
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.010464240881099663
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.010464240881099663
timing__hold__ws__corner:min_tt_025C_1v80,0.3494141741511429
timing__setup__ws__corner:min_tt_025C_1v80,27.748726768443774
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
