Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,10
design__inferred_latch__count,0
design__instance__count,8882
design__instance__area,70417.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,57
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003878735937178135
power__switching__total,0.0016883241478353739
power__leakage__total,7.470394791653234E-8
power__total,0.005567134357988834
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.02959066408991297
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.02959066408991297
timing__hold__ws__corner:nom_tt_025C_1v80,0.3184176346053862
timing__setup__ws__corner:nom_tt_025C_1v80,11.922890567866881
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,57
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.04240641291482513
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.04240641291482513
timing__hold__ws__corner:nom_ss_100C_1v60,0.8614024182212473
timing__setup__ws__corner:nom_ss_100C_1v60,8.161926476810383
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,57
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.023729796577160112
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.023729796577160112
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10929607528378134
timing__setup__ws__corner:nom_ff_n40C_1v95,13.271748520266955
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,57
design__max_cap_violation__count,1
clock__skew__worst_hold,0.048338223680857946
clock__skew__worst_setup,-0.04240641291482513
timing__hold__ws,0.1076022634783577
timing__setup__ws,7.9958539830195825
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 508.76 225.76
design__core__bbox,2.76 2.72 506.0 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,114858
design__core__area,110874
design__instance__count__stdcell,8882
design__instance__area__stdcell,70417.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.635114
design__instance__utilization__stdcell,0.635114
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,113492
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,578
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,7274
route__net__special,2
route__drc_errors__iter:1,3556
route__wirelength__iter:1,132536
route__drc_errors__iter:2,1315
route__wirelength__iter:2,131194
route__drc_errors__iter:3,1002
route__wirelength__iter:3,130876
route__drc_errors__iter:4,164
route__wirelength__iter:4,130715
route__drc_errors__iter:5,4
route__wirelength__iter:5,130689
route__drc_errors__iter:6,0
route__wirelength__iter:6,130683
route__drc_errors,0
route__wirelength,130683
route__vias,48966
route__vias__singlecut,48966
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,779.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,85
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,85
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,85
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,57
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.026834646375637976
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.026834646375637976
timing__hold__ws__corner:min_tt_025C_1v80,0.3142475257846529
timing__setup__ws__corner:min_tt_025C_1v80,12.036812776091658
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,85
