Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,14
design__inferred_latch__count,0
design__instance__count,3444
design__instance__area,24383.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.006119129713624716
power__switching__total,0.007282877340912819
power__leakage__total,2.995617620626945E-8
power__total,0.01340203732252121
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.023289038023918424
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.023289038023918424
timing__hold__ws__corner:nom_tt_025C_1v80,0.3051307071154973
timing__setup__ws__corner:nom_tt_025C_1v80,11.472765284746124
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,6
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.03414268964191865
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.03414268964191865
timing__hold__ws__corner:nom_ss_100C_1v60,0.8658466411145129
timing__setup__ws__corner:nom_ss_100C_1v60,3.2867274276942253
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.017932877912434263
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.017932877912434263
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11593243360116724
timing__setup__ws__corner:nom_ff_n40C_1v95,14.451080741082771
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,0.04070827123948299
clock__skew__worst_setup,-0.03000011435297477
timing__hold__ws,0.11288814647039551
timing__setup__ws,3.0827892222654345
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3444
design__instance__area__stdcell,24383.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.711812
design__instance__utilization__stdcell,0.711812
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,49001.5
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,56
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,2992
route__net__special,2
route__drc_errors__iter:1,1163
route__wirelength__iter:1,53429
route__drc_errors__iter:2,477
route__wirelength__iter:2,52914
route__drc_errors__iter:3,393
route__wirelength__iter:3,52695
route__drc_errors__iter:4,94
route__wirelength__iter:4,52740
route__drc_errors__iter:5,16
route__wirelength__iter:5,52717
route__drc_errors__iter:6,3
route__wirelength__iter:6,52717
route__drc_errors__iter:7,3
route__wirelength__iter:7,52708
route__drc_errors__iter:8,0
route__wirelength__iter:8,52707
route__drc_errors,0
route__wirelength,52707
route__vias,19645
route__vias__singlecut,19645
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,337.55
timing__unannotated_net__count__corner:nom_tt_025C_1v80,50
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,50
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,50
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,8
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.020297264443696648
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.020297264443696648
timing__hold__ws__corner:min_tt_025C_1v80,0.3005834000114797
timing__setup__ws__corner:min_tt_025C_1v80,11.547159999462652
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
