Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1773
design__instance__area,14823
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001125171547755599
power__switching__total,0.0012837789254263043
power__leakage__total,1.4508018786330013e-08
power__total,0.0024089650250971317
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,0.364113
timing__setup__ws__corner:nom_tt_025C_1v80,5.642718
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.364113
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,inf
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,65
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0
timing__hold__ws__corner:nom_ss_100C_1v60,0.974112
timing__setup__ws__corner:nom_ss_100C_1v60,-3.964015
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-58.738213
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.964015
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.974112
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,16
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,inf
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0
timing__hold__ws__corner:nom_ff_n40C_1v95,0.140523
timing__setup__ws__corner:nom_ff_n40C_1v95,9.227048
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.140523
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,inf
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,96
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,0.133681
timing__setup__ws,-4.361242
timing__hold__tns,0.0
timing__setup__tns,-64.974167
timing__hold__wns,0.0
timing__setup__wns,-4.361242
timing__hold_vio__count,0
timing__hold_r2r__ws,0.133681
timing__hold_r2r_vio__count,0
timing__setup_vio__count,48
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1773
design__instance__area__stdcell,14823
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.898726
design__instance__utilization__stdcell,0.898726
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,49083.6
design__violations,0
design__instance__count__setup_buffer,3
design__instance__count__hold_buffer,14
antenna__violating__nets,7
antenna__violating__pins,7
route__antenna_violation__count,7
route__net,1567
route__net__special,2
route__drc_errors__iter:1,4762
route__wirelength__iter:1,63428
route__drc_errors__iter:2,3266
route__wirelength__iter:2,62486
route__drc_errors__iter:3,2393
route__wirelength__iter:3,61724
route__drc_errors__iter:4,1885
route__wirelength__iter:4,61682
route__drc_errors__iter:5,1594
route__wirelength__iter:5,61716
route__drc_errors__iter:6,1226
route__wirelength__iter:6,61707
route__drc_errors__iter:7,1087
route__wirelength__iter:7,61645
route__drc_errors__iter:8,843
route__wirelength__iter:8,61594
route__drc_errors__iter:9,707
route__wirelength__iter:9,61530
route__drc_errors__iter:10,601
route__wirelength__iter:10,61526
route__drc_errors__iter:11,279
route__wirelength__iter:11,61550
route__drc_errors__iter:12,261
route__wirelength__iter:12,61585
route__drc_errors__iter:13,224
route__wirelength__iter:13,61602
route__drc_errors__iter:14,193
route__wirelength__iter:14,61642
route__drc_errors__iter:15,189
route__wirelength__iter:15,61636
route__drc_errors__iter:16,189
route__wirelength__iter:16,61636
route__drc_errors__iter:17,171
route__wirelength__iter:17,61622
route__drc_errors__iter:18,277
route__wirelength__iter:18,61762
route__drc_errors__iter:19,54
route__wirelength__iter:19,61830
route__drc_errors__iter:20,48
route__wirelength__iter:20,61874
route__drc_errors__iter:21,32
route__wirelength__iter:21,61939
route__drc_errors__iter:22,32
route__wirelength__iter:22,61939
route__drc_errors__iter:23,27
route__wirelength__iter:23,61944
route__drc_errors__iter:24,27
route__wirelength__iter:24,61944
route__drc_errors__iter:25,14
route__wirelength__iter:25,61934
route__drc_errors__iter:26,14
route__wirelength__iter:26,61934
route__drc_errors__iter:27,4
route__wirelength__iter:27,61999
route__drc_errors__iter:28,4
route__wirelength__iter:28,61999
route__drc_errors__iter:29,4
route__wirelength__iter:29,61999
route__drc_errors__iter:30,4
route__wirelength__iter:30,61999
route__drc_errors__iter:31,4
route__wirelength__iter:31,61999
route__drc_errors__iter:32,4
route__wirelength__iter:32,61999
route__drc_errors__iter:33,4
route__wirelength__iter:33,61999
route__drc_errors__iter:34,4
route__wirelength__iter:34,61999
route__drc_errors__iter:35,4
route__wirelength__iter:35,61999
route__drc_errors__iter:36,4
route__wirelength__iter:36,61999
