Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,1366
design__instance__area,9835.68
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004697071562986821
power__switching__total,0.00053610117174685
power__leakage__total,1.0775097258886035e-08
power__total,0.0010058191837742925
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.016452
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.016452
timing__hold__ws__corner:nom_tt_025C_1v80,0.328143
timing__setup__ws__corner:nom_tt_025C_1v80,14.092603
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328143
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.092603
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,20
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.024656
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.024656
timing__hold__ws__corner:nom_ss_100C_1v60,0.865884
timing__setup__ws__corner:nom_ss_100C_1v60,8.650391
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.865884
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.650391
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.013012
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.013012
timing__hold__ws__corner:nom_ff_n40C_1v95,0.119959
timing__setup__ws__corner:nom_ff_n40C_1v95,14.868401
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119959
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.905392
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,52
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.026565
clock__skew__worst_setup,0.012071
timing__hold__ws,0.117077
timing__setup__ws,8.427634
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117077
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.427634
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1366
design__instance__area__stdcell,9835.68
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.596343
design__instance__utilization__stdcell,0.596343
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31852.8
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,28
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
route__net,1160
route__net__special,2
route__drc_errors__iter:1,2079
route__wirelength__iter:1,40984
route__drc_errors__iter:2,1044
route__wirelength__iter:2,40502
route__drc_errors__iter:3,838
route__wirelength__iter:3,40119
route__drc_errors__iter:4,618
route__wirelength__iter:4,40209
route__drc_errors__iter:5,274
route__wirelength__iter:5,40086
route__drc_errors__iter:6,150
route__wirelength__iter:6,40058
route__drc_errors__iter:7,145
route__wirelength__iter:7,40039
route__drc_errors__iter:8,80
route__wirelength__iter:8,40001
route__drc_errors__iter:9,17
route__wirelength__iter:9,39967
route__drc_errors__iter:10,15
route__wirelength__iter:10,39964
route__drc_errors__iter:11,12
route__wirelength__iter:11,39987
route__drc_errors__iter:12,0
route__wirelength__iter:12,40004
route__drc_errors,0
route__wirelength,40004
route__vias,10287
route__vias__singlecut,10287
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,270.93
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.015321
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.015321
timing__hold__ws__corner:min_tt_025C_1v80,0.324381
timing__setup__ws__corner:min_tt_025C_1v80,14.185884
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.324381
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
