Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,82
design__inferred_latch__count,0
design__instance__count,3197
design__instance__area,20821.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00023300859902519733
power__switching__total,0.00025643108529038727
power__leakage__total,2.233297458076322e-08
power__total,0.0004894620506092906
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.001045
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.001045
timing__hold__ws__corner:nom_tt_025C_1v80,0.406489
timing__setup__ws__corner:nom_tt_025C_1v80,5.720974
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.406489
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.818817
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,62
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.000862
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.000862
timing__hold__ws__corner:nom_ss_100C_1v60,1.028231
timing__setup__ws__corner:nom_ss_100C_1v60,-1.501402
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-7.768554
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.501402
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.028231
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.257874
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.001066
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.001066
timing__hold__ws__corner:nom_ff_n40C_1v95,0.165029
timing__setup__ws__corner:nom_ff_n40C_1v95,8.240196
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.165029
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.485262
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,95
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,0.002605
clock__skew__worst_setup,-0.00183
timing__hold__ws,0.158609
timing__setup__ws,-1.844526
timing__hold__tns,0.0
timing__setup__tns,-9.703886
timing__hold__wns,0.0
timing__setup__wns,-1.844526
timing__hold_vio__count,0
timing__hold_r2r__ws,0.158609
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,13.163847
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3197
design__instance__area__stdcell,20821.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.607824
design__instance__utilization__stdcell,0.607824
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,71994.7
design__violations,0
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,1
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
route__net,2767
route__net__special,2
route__drc_errors__iter:1,3892
route__wirelength__iter:1,88039
route__drc_errors__iter:2,1635
route__wirelength__iter:2,86542
route__drc_errors__iter:3,1631
route__wirelength__iter:3,86088
route__drc_errors__iter:4,665
route__wirelength__iter:4,85884
route__drc_errors__iter:5,144
route__wirelength__iter:5,85941
route__drc_errors__iter:6,46
route__wirelength__iter:6,85935
route__drc_errors__iter:7,43
route__wirelength__iter:7,85924
route__drc_errors__iter:8,20
route__wirelength__iter:8,85920
route__drc_errors__iter:9,0
route__wirelength__iter:9,85916
route__drc_errors,0
route__wirelength,85916
route__vias,22992
route__vias__singlecut,22992
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,323.565
timing__unannotated_net__count__corner:nom_tt_025C_1v80,23
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,23
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,23
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.001485
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.001485
timing__hold__ws__corner:min_tt_025C_1v80,0.396926
timing__setup__ws__corner:min_tt_025C_1v80,5.80336
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.396926
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,17.878925
