Metric,Value
design__lint_error__count,5
design__lint_timing_construct__count,0
design__lint_warning__count,56
design__inferred_latch__count,0
design__instance__count,15587
design__instance__area,226734
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,21
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,56
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.011710547842085361
power__switching__total,0.015924058854579926
power__leakage__total,2.403048426913301E-7
power__total,0.027634846046566963
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.9551056882389297
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.9551056882389297
timing__hold__ws__corner:nom_tt_025C_1v80,0.19858226736191795
timing__setup__ws__corner:nom_tt_025C_1v80,1.3089067977736475
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,461
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,56
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.751812300361078
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-1.751812300361078
timing__hold__ws__corner:nom_ss_100C_1v60,0.65244211879853
timing__setup__ws__corner:nom_ss_100C_1v60,0.2796181143549732
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,56
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.6333188597254263
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.6333188597254263
timing__hold__ws__corner:nom_ff_n40C_1v95,0.05008782419484681
timing__setup__ws__corner:nom_ff_n40C_1v95,1.5916477475406061
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
